App,Meal,Metric,PE
NutriAI-Photo+ Audio Input,1,Calories,37.93103448275862
Nutri AI-Photo input only,1,Calories,37.93103448275862
arise,1,Calories,58.88594164456234
Calorix AI,1,Calories,24.6684350132626
Calorie Cue AI,1,Calories,20.159151193633953
NutriAI-Photo+ Audio Input,2,Calories,9.090909090909092
Nutri AI-Photo input only,2,Calories,-16.883116883116884
arise,2,Calories,-9.61038961038961
Calorix AI,2,Calories,-15.064935064935064
Calorie Cue AI,2,Calories,-14.285714285714285
NutriAI-Photo+ Audio Input,3,Calories,3.4482758620689653
Nutri AI-Photo input only,3,Calories,3.4482758620689653
arise,3,Calories,44.33497536945813
Calorix AI,3,Calories,28.078817733990146
Calorie Cue AI,3,Calories,51.724137931034484
NutriAI-Photo+ Audio Input,4,Calories,-37.29372937293729
Nutri AI-Photo input only,4,Calories,-30.693069306930692
arise,4,Calories,-11.221122112211221
Calorix AI,4,Calories,-25.742574257425744
Calorie Cue AI,4,Calories,-51.81518151815182
NutriAI-Photo+ Audio Input,5,Calories,154.38596491228068
Nutri AI-Photo input only,5,Calories,130.26315789473685
arise,5,Calories,154.82456140350877
Calorix AI,5,Calories,99.56140350877193
Calorie Cue AI,5,Calories,204.82456140350877
NutriAI-Photo+ Audio Input,6,Calories,-20.454545454545457
Nutri AI-Photo input only,6,Calories,6.0606060606060606
arise,6,Calories,44.31818181818182
Calorix AI,6,Calories,24.62121212121212
Calorie Cue AI,6,Calories,34.46969696969697
NutriAI-Photo+ Audio Input,7,Calories,0.0
Nutri AI-Photo input only,7,Calories,7.954545454545454
arise,7,Calories,8.806818181818182
Calorix AI,7,Calories,-7.670454545454546
Calorie Cue AI,7,Calories,54.82954545454546
NutriAI-Photo+ Audio Input,8,Calories,25.984251968503933
Nutri AI-Photo input only,8,Calories,-52.75590551181102
arise,8,Calories,66.14173228346458
Calorix AI,8,Calories,38.188976377952756
Calorie Cue AI,8,Calories,112.20472440944881
NutriAI-Photo+ Audio Input,9,Calories,46.478873239436616
Nutri AI-Photo input only,9,Calories,136.61971830985914
arise,9,Calories,98.87323943661971
Calorix AI,9,Calories,100.0
Calorie Cue AI,9,Calories,8.450704225352112
NutriAI-Photo+ Audio Input,10,Calories,0.0
Nutri AI-Photo input only,10,Calories,-15.789473684210526
arise,10,Calories,6.842105263157896
Calorix AI,10,Calories,-15.789473684210526
Calorie Cue AI,10,Calories,-10.0
NutriAI-Photo+ Audio Input,1,Carbs,38.095238095238095
Nutri AI-Photo input only,1,Carbs,47.61904761904761
arise,1,Carbs,2.380952380952381
Calorix AI,1,Carbs,-16.666666666666664
Calorie Cue AI,1,Carbs,26.190476190476193
NutriAI-Photo+ Audio Input,2,Carbs,29.03225806451613
Nutri AI-Photo input only,2,Carbs,-16.129032258064516
arise,2,Carbs,-3.225806451612903
Calorix AI,2,Carbs,0.0
Calorie Cue AI,2,Carbs,12.903225806451612
NutriAI-Photo+ Audio Input,3,Carbs,34.883720930232556
Nutri AI-Photo input only,3,Carbs,62.7906976744186
arise,3,Carbs,16.27906976744186
Calorix AI,3,Carbs,-2.3255813953488373
Calorie Cue AI,3,Carbs,39.53488372093023
NutriAI-Photo+ Audio Input,4,Carbs,-8.450704225352112
Nutri AI-Photo input only,4,Carbs,5.633802816901409
arise,4,Carbs,-25.352112676056336
Calorix AI,4,Carbs,-42.25352112676056
Calorie Cue AI,4,Carbs,-25.352112676056336
NutriAI-Photo+ Audio Input,5,Carbs,110.5263157894737
Nutri AI-Photo input only,5,Carbs,150.0
arise,5,Carbs,121.05263157894737
Calorix AI,5,Carbs,78.94736842105263
Calorie Cue AI,5,Carbs,139.4736842105263
NutriAI-Photo+ Audio Input,6,Carbs,-38.88888888888889
Nutri AI-Photo input only,6,Carbs,-16.666666666666664
arise,6,Carbs,16.666666666666664
Calorix AI,6,Carbs,-27.77777777777778
Calorie Cue AI,6,Carbs,0.0
NutriAI-Photo+ Audio Input,7,Carbs,0.0
Nutri AI-Photo input only,7,Carbs,34.78260869565217
arise,7,Carbs,-26.08695652173913
Calorix AI,7,Carbs,0.0
Calorie Cue AI,7,Carbs,80.43478260869566
NutriAI-Photo+ Audio Input,8,Carbs,34.32835820895522
Nutri AI-Photo input only,8,Carbs,-100.0
arise,8,Carbs,-1.4925373134328357
Calorix AI,8,Carbs,-10.44776119402985
Calorie Cue AI,8,Carbs,195.5223880597015
NutriAI-Photo+ Audio Input,9,Carbs,141.93548387096774
Nutri AI-Photo input only,9,Carbs,248.38709677419354
arise,9,Carbs,183.8709677419355
Calorix AI,9,Carbs,203.2258064516129
Calorie Cue AI,9,Carbs,-12.903225806451612
NutriAI-Photo+ Audio Input,10,Carbs,40.625
Nutri AI-Photo input only,10,Carbs,40.625
arise,10,Carbs,43.75
Calorix AI,10,Carbs,6.25
Calorie Cue AI,10,Carbs,3.125
NutriAI-Photo+ Audio Input,1,Proteins,33.33333333333333
Nutri AI-Photo input only,1,Proteins,58.333333333333336
arise,1,Proteins,70.83333333333334
Calorix AI,1,Proteins,12.5
Calorie Cue AI,1,Proteins,4.166666666666666
NutriAI-Photo+ Audio Input,2,Proteins,12.5
Nutri AI-Photo input only,2,Proteins,-12.5
arise,2,Proteins,-12.5
Calorix AI,2,Proteins,25.0
Calorie Cue AI,2,Proteins,-18.75
NutriAI-Photo+ Audio Input,3,Proteins,128.57142857142858
Nutri AI-Photo input only,3,Proteins,100.0
arise,3,Proteins,342.85714285714283
Calorix AI,3,Proteins,285.7142857142857
Calorie Cue AI,3,Proteins,328.57142857142856
NutriAI-Photo+ Audio Input,4,Proteins,-36.84210526315789
Nutri AI-Photo input only,4,Proteins,-26.31578947368421
arise,4,Proteins,-36.84210526315789
Calorix AI,4,Proteins,-5.263157894736842
Calorie Cue AI,4,Proteins,-52.63157894736842
NutriAI-Photo+ Audio Input,5,Proteins,77.77777777777779
Nutri AI-Photo input only,5,Proteins,33.33333333333333
arise,5,Proteins,33.33333333333333
Calorix AI,5,Proteins,-11.11111111111111
Calorie Cue AI,5,Proteins,66.66666666666666
NutriAI-Photo+ Audio Input,6,Proteins,-28.57142857142857
Nutri AI-Photo input only,6,Proteins,-14.285714285714285
arise,6,Proteins,24.285714285714274
Calorix AI,6,Proteins,-28.57142857142857
Calorie Cue AI,6,Proteins,14.285714285714285
NutriAI-Photo+ Audio Input,7,Proteins,0.0
Nutri AI-Photo input only,7,Proteins,-65.21739130434783
arise,7,Proteins,47.82608695652174
Calorix AI,7,Proteins,-60.86956521739131
Calorie Cue AI,7,Proteins,-13.043478260869565
